Feature,Importance,Cumulative,Rank
Dst Port,0.08468473900403725,0.08468473900403725,1
Init Fwd Win Byts,0.0617164946628406,0.14640123366687785,2
Fwd Header Len,0.04724809323272891,0.19364932689960676,3
Fwd Seg Size Min,0.042577773096734266,0.23622709999634103,4
Fwd Pkt Len Mean,0.03492432654650812,0.2711514265428492,5
Subflow Fwd Byts,0.031219794684006364,0.30237122122685556,6
Bwd Pkt Len Std,0.03093271825413929,0.33330393948099485,7
Flow Duration,0.026521696689998667,0.3598256361709935,8
Subflow Bwd Byts,0.02452523113536003,0.38435086730635354,9
Fwd Pkt Len Max,0.024477396482502026,0.40882826378885556,10
Bwd Pkt Len Mean,0.02435013624322426,0.4331784000320798,11
TotLen Fwd Pkts,0.024244989168781917,0.45742338920086173,12
Fwd Seg Size Avg,0.024150033512717682,0.4815734227135794,13
Flow IAT Min,0.02335145697348198,0.5049248796870613,14
Subflow Bwd Pkts,0.022210806143211793,0.5271356858302731,15
Bwd Header Len,0.022157065764084792,0.549292751594358,16
Bwd Seg Size Avg,0.021833049142396248,0.5711258007367542,17
Fwd IAT Max,0.021415730739169195,0.5925415314759235,18
Pkt Len Max,0.02076771750651232,0.6133092489824358,19
Flow IAT Mean,0.02070658298157694,0.6340158319640127,20
Bwd Pkt Len Max,0.02052003954597126,0.6545358715099839,21
Fwd Pkt Len Std,0.020497547809637976,0.6750334193196219,22
Flow Pkts/s,0.020021852037097145,0.6950552713567191,23
Fwd IAT Tot,0.01972341027063284,0.7147786816273519,24
Fwd IAT Mean,0.01932368780351905,0.7341023694308709,25
Tot Fwd Pkts,0.018757120919589927,0.7528594903504608,26
Flow IAT Max,0.018487205474566545,0.7713466958250274,27
Tot Bwd Pkts,0.018126032985506312,0.7894727288105337,28
Fwd Pkts/s,0.01787955565580261,0.8073522844663362,29
Pkt Len Mean,0.01749425576383629,0.8248465402301726,30
Fwd IAT Min,0.016192442058209425,0.841038982288382,31
TotLen Bwd Pkts,0.016073562876305243,0.8571125451646873,32
Subflow Fwd Pkts,0.015491409816591615,0.8726039549812789,33
Pkt Size Avg,0.014689409733305226,0.8872933647145841,34
Pkt Len Std,0.014515323888613912,0.901808688603198,35
Init Bwd Win Byts,0.01430726280510562,0.9161159514083036,36
Bwd Pkts/s,0.012540411958300779,0.9286563633666044,37
Fwd Act Data Pkts,0.012369686345767943,0.9410260497123724,38
Flow Byts/s,0.011436796337309926,0.9524628460496822,39
Pkt Len Var,0.01061135094139578,0.963074196991078,40
Flow IAT Std,0.009063423347291875,0.9721376203383698,41
ACK Flag Cnt,0.008921305693592878,0.9810589260319627,42
ECE Flag Cnt,0.007218925418065696,0.9882778514500283,43
Bwd IAT Std,0.00644440947376203,0.9947222609237903,44
Bwd IAT Min,0.005277739076209794,1.0000000000000002,45
